Alpha,train_score,test_score
1.18,0.6057303867465059,0.6043652206477956
1.19,0.605729762532211,0.6043648617043293
1.2,0.605729133645893,0.6043644987000238
1.21,0.605728500096723,0.604364131642976
1.22,0.6057278618938531,0.6043637605412652
1.23,0.6057272190464171,0.6043633854029549
1.24,0.60572657156353,0.6043630062360923
1.25,0.605725919454289,0.6043626230487076
1.26,0.6057252627277725,0.604362235848815
1.27,0.6057246013930409,0.6043618446444126
1.28,0.6057239354591359,0.6043614494434814
1.29,0.6057232649350818,0.6043610502539869
1.3,0.6057225898298837,0.6043606470838783
1.31,0.6057219101525291,0.6043602399410879
1.32,0.6057212259119873,0.604359828833533
1.33,0.6057205371172097,0.6043594137691137
1.34,0.6057198437771296,0.6043589947557146
1.35,0.6057191459006619,0.6043585718012041
1.36,0.6057184434967042,0.6043581449134348
1.37,0.605717736574136,0.6043577141002429
1.3800000000000001,0.6057170251418186,0.6043572793694489
1.3900000000000001,0.6057163092085958,0.6043568407288575
1.4000000000000001,0.6057155887832937,0.6043563981862574
1.41,0.6057148638747201,0.6043559517494216
1.42,0.6057141344916657,0.6043555014261071
1.43,0.6057134006429036,0.6043550472240553
1.44,0.6057126623371886,0.6043545891509918
1.45,0.6057119195832585,0.6043541272146266
1.46,0.6057111723898334,0.604353661422654
1.47,0.6057104207656158,0.6043531917827525
1.48,0.6057096647192908,0.6043527183025855
1.49,0.6057089042595261,0.6043522409898003
1.5,0.6057081393949719,0.6043517598520289
1.51,0.6057073701342612,0.6043512748968882
1.52,0.6057065964860094,0.6043507861319789
1.53,0.6057058184588151,0.6043502935648868
1.54,0.6057050360612595,0.6043497972031824
1.55,0.6057042493019063,0.6043492970544205
1.56,0.6057034581893019,0.6043487931261409
1.57,0.6057026627319768,0.6043482854258679
1.58,0.6057018629384425,0.6043477739611107
1.59,0.6057010588171954,0.6043472587393632
1.6,0.6057002503767133,0.6043467397681045
1.61,0.6056994376254583,0.604346217054798
1.62,0.6056986205718744,0.6043456906068922
1.6300000000000001,0.6056977992243897,0.6043451604318207
1.6400000000000001,0.6056969735914148,0.604344626537002
1.6500000000000001,0.605696143681344,0.6043440889298397
1.6600000000000001,0.6056953095025542,0.6043435476177219
1.67,0.605694471063406,0.6043430026080224
1.68,0.6056936283722432,0.6043424539080999
